SainzTiebauzfu	Sainz Tiebauz fu
EtEwruins,cumill'audit,Credrenelpotantroquelvid.Cilbiensqu'elfist,	Et Ewruins , cum il l ' audit , Credre nel pot antro quel vid . Cil biens qu ' el fist ,
cillipesat	cil li pesat
;Occiderelocommandat.Quatr'omnesitramistarmezQueluialessuntdecoller.	; Occidere lo commandat . Quatr ' omnes i tramist armez Que lui alessunt decoller .
LitresvindrentasanctLethgier,Jussegiterentasospez.Delor	Li tres vindrent a sanct Lethgier , Jus se giterent a sos pez . De lor
pechietzqueaurentfaizIllosabsolsetperdonet.Lo	pechietz que aurent faiz Il los absols et perdonet . Lo
quarz,unsfel,nomaVadart,Abuninspiethlodecollat.Etcumill'	quarz , uns fel , nom a Vadart , Ab un inspieth lo decollat . Et cum il l '
audtollutloquev,Locorpsesterasobrelspiez.	aud tollut lo quev , Lo corps estera sobrels piez .
Ciofudlonxdisquenoncadit;Lais'aprosmatqueluifirid.Entrol	Cio fud lonx dis que non cadit ; Lai s ' aprosmat que lui firid . Entrol
talialospezdejus,Locorpsesterasempre	talia los pez dejus , Lo corps estera sempre
sus.Delcorpsasazl'	sus . Del corps asaz l '
avezaudit,Etdelsflaielsquegranzsustint.L'animareciutDomineDeus;	avez audit , Et dels flaiels que granz sustint . L ' anima reciut Domine Deus ;
Alsaltres	Als altres
sanzenvaiencel.IlnosaiudobcielSenior	sanz en vai en cel . Il nos aiud ob ciel Senior
Porcuisustinctelspassions	Por cui sustinc tels passions
